zone09  Latitude        Longitude
158     41.97603400300  -87.67941590210
159     41.97592207940  -87.65767584430
160     41.96144873040  -87.67900448260
161     41.96171796020  -87.65960525420
162     41.96214560480  -87.64294763360
163     41.94684598160  -87.67856804490
164     41.94711123720  -87.65918547510
165     41.94676980590  -87.64244800610
166     41.93226285730  -87.67814390870
167     41.93253190480  -87.65871780310
168     41.93266647030  -87.63966389540
169     41.90191547870  -87.77530147580
170     41.90217164670  -87.75576574710
171     41.90242865430  -87.73609277860
172     41.90271745810  -87.71652939250
173     41.90293524060  -87.69694055270
174     41.88734968960  -87.77492089220
175     41.88760047110  -87.75534572770
176     41.88787935660  -87.73565631340
177     41.88813568630  -87.71606547660
178     41.88834831470  -87.69647088520
179     41.87273996820  -87.77439817360
180     41.87303098430  -87.75480678650
181     41.87329093970  -87.73521173600
182     41.87355663750  -87.71562973650
183     41.87377097050  -87.69606214690
184     41.85871449040  -87.73472919770
185     41.85896021450  -87.71520574920
186     41.85919642570  -87.69566996730
187     41.84408854890  -87.73427964930
188     41.84435416080  -87.71480369140
189     41.84463534730  -87.69521805560
190     41.82948727170  -87.73389706540
191     41.82975630440  -87.71440935610
192     41.83007493220  -87.69482658430
193     41.83035515270  -87.67532307110
194     41.83061946050  -87.65586215350
195     41.83086434770  -87.63636704180
196     41.83078458360  -87.61500113700
197     41.81496488410  -87.73357362270
198     41.81522673110  -87.71403985190
199     41.81550727550  -87.69447361730
200     41.79939593370  -87.79193270750
201     41.79983707850  -87.77226812570
202     41.80019861240  -87.75276228410
203     41.80043791490  -87.73319768840
204     41.80068632670  -87.71361212240
205     41.80099556580  -87.69405026650
206     41.78483300740  -87.79142270180
207     41.78522196770  -87.77176307010
208     41.78556778850  -87.75226525450
209     41.78585062440  -87.73275453750
210     41.78610867030  -87.71316178460
211     41.78638182200  -87.69357010130
212     41.77126354920  -87.73230202470
213     41.77153265030  -87.71274808940
214     41.77178993440  -87.69320089990
215     41.75668411160  -87.73191088400
216     41.75694921620  -87.71237289150
217     41.75724908770  -87.69281300830
218     41.74203426020  -87.73149323430
219     41.74238458000  -87.71201070720
220     41.74268349770  -87.69248092860
221     41.81578880750  -87.67492802710
222     41.81603648600  -87.65546387490
223     41.81630356000  -87.63602088710
224     41.81659750410  -87.61652446800
225     41.81487410080  -87.59282748470
226     41.80124907600  -87.67451799880
227     41.80144529830  -87.65507291760
228     41.80175416240  -87.63564013250
229     41.80210009830  -87.61618115870
230     41.80152759550  -87.59216626460
231     41.78663592110  -87.67413710490
232     41.78687016650  -87.65471130000
233     41.78715764130  -87.63525871730
234     41.78751060170  -87.61584888820
235     41.78782023380  -87.59636329990
236     41.78725110260  -87.58136242960
237     41.77203773750  -87.67371980520
